mdl,cd0_clean,k_clean,e_clean,cd0_to,k_to,e_to,cd0_ld,k_ld,e_ld,delta_cd_gear
A319,0.020,0.039,0.783,0.021,0.037,0.835,0.026,0.035,0.887,0.017
A320,0.018,0.039,0.799,0.019,0.036,0.851,0.023,0.034,0.903,0.017
A20N,0.017,0.038,0.807,0.018,0.036,0.859,0.022,0.034,0.911,0.017
A321,0.020,0.041,0.785,0.022,0.038,0.837,0.028,0.035,0.915,0.019
A332,0.022,0.041,0.774,0.023,0.038,0.826,0.028,0.035,0.904,0.014
A333,0.022,0.041,0.773,0.023,0.038,0.825,0.028,0.035,0.903,0.014
A343,0.019,0.040,0.799,0.020,0.037,0.851,0.025,0.034,0.929,0.016
A359,0.022,0.043,0.783,0.023,0.040,0.835,0.028,0.037,0.913,0.013
A388,0.016,0.050,0.855,0.017,0.047,0.907,0.020,0.044,0.959,0.012
B734,0.020,0.044,0.793,0.021,0.041,0.845,0.024,0.039,0.897,0.021
B737,0.022,0.043,0.780,0.023,0.041,0.832,0.028,0.037,0.910,0.016
B738,0.019,0.042,0.799,0.020,0.040,0.851,0.025,0.036,0.929,0.017
B38M,0.020,0.042,0.797,0.021,0.040,0.849,0.025,0.036,0.927,0.018
B739,0.020,0.042,0.797,0.021,0.040,0.849,0.025,0.036,0.927,0.018
B744,0.021,0.049,0.816,0.022,0.046,0.868,0.027,0.044,0.920,0.015
B748,0.021,0.047,0.806,0.023,0.044,0.858,0.026,0.041,0.910,0.015
B752,0.021,0.049,0.813,0.022,0.046,0.865,0.029,0.043,0.943,0.016
B772,0.024,0.047,0.783,0.025,0.044,0.835,0.031,0.040,0.913,0.014
B77W,0.024,0.043,0.765,0.026,0.041,0.817,0.031,0.037,0.895,0.016
B788,0.017,0.041,0.819,0.018,0.038,0.871,0.021,0.036,0.923,0.013
B789,0.022,0.042,0.783,0.023,0.040,0.835,0.026,0.037,0.887,0.014
E75L,0.018,0.042,0.809,0.019,0.040,0.861,0.024,0.036,0.939,0.017
E190,0.018,0.044,0.817,0.019,0.041,0.869,0.024,0.038,0.947,0.016
E195,0.021,0.045,0.795,0.022,0.042,0.847,0.027,0.039,0.925,0.017
F16,0.0175,0.109,0.908,0.018,0.109,0.908,0.018,0.109,0.908,0.000
